# This file derived from http://chir.ag/projects/ntc/ntc.js, by Chirag Mehta
# Creative Commons License: Attribution 2.5 http://creativecommons.org/licenses/by/2.5/

000000,Black
000080,Navy Blue
0000C8,Dark Blue
0000FF,Blue
000741,Stratos
001B1C,Swamp
002387,Resolution Blue
002900,Deep Fir
002E20,Burnham
002FA7,International Klein Blue
003153,Prussian Blue
003366,Midnight Blue
003399,Smalt
003532,Deep Teal
003E40,Cyprus
004620,Kaitoke Green
0047AB,Cobalt
004816,Crusoe
004950,Sherpa Blue
0056A7,Endeavour
00581A,Camarone
0066CC,Science Blue
0066FF,Blue Ribbon
00755E,Tropical Rain Forest
0076A3,Allports
007BA7,Deep Cerulean
007EC7,Lochmara
007FFF,Azure Radiance
008080,Teal
0095B6,Bondi Blue
009DC4,Pacific Blue
00A693,Persian Green
00A86B,Jade
00CC99,Caribbean Green
00CCCC,Robin's Egg Blue
00FF00,Green
00FF7F,Spring Green
00FFFF,Cyan
010101,0.4% Gray
010D1A,Blue Charcoal
011635,Midnight
011D13,Holly
012731,Daintree
01361C,Cardin Green
01371A,County Green
013E62,Astronaut Blue
013F6A,Regal Blue
014B43,Aqua Deep
015E85,Orient
016162,Blue Stone
016D39,Fun Green
01796F,Pine Green
017987,Blue Lagoon
01826B,Deep Sea
01A368,Green Haze
020202,0.8% Gray
022D15,English Holly
02402C,Sherwood Green
02478E,Congress Blue
024E46,Evening Sea
026395,Bahama Blue
02866F,Observatory
02A4D3,Cerulean
030303,1.2% Gray
03163C,Tangaroa
032B52,Green Vogue
036A6E,Mosque
040404,1.6% Gray
041004,Midnight Moss
041322,Black Pearl
042E4C,Blue Whale
044022,Zuccini
044259,Teal Blue
050505,2.0% Gray
051040,Deep Cove
051657,Gulf Blue
055989,Venice Blue
056F57,Watercourse
060606,2.4% Gray
062A78,Catalina Blue
063537,Tiber
069B81,Gossamer
06A189,Niagara
070707,2.7% Gray
073A50,Tarawera
080110,Jaguar
080808,3.1% Gray
081910,Black Bean
082567,Deep Sapphire
088370,Elf Green
08E8DE,Bright Turquoise
090909,3.5% Gray
092256,Downriver
09230F,Palm Green
09255D,Madison
093624,Bottle Green
095859,Deep Sea Green
097F4B,Salem
0A001C,Black Russian
0A0A0A,3.9% Gray
0A480D,Dark Fern
0A6906,Japanese Laurel
0A6F75,Atoll
0B0B0B,4.3% Gray
0B0B0B,Cod Gray
0B0F08,Marshland
0B1107,Gordons Green
0B1304,Black Forest
0B6207,San Felix
0BDA51,Malachite
0C0B1D,Ebony
0C0C0C,4.7% Gray
0C0D0F,Woodsmoke
0C1911,Racing Green
0C7A79,Surfie Green
0C8990,Blue Chill
0D0332,Black Rock
0D0D0D,5.1% Gray
0D1117,Bunker
0D1C19,Aztec
0D2E1C,Bush
0E0E0E,5.5% Gray
0E0E18,Cinder
0E2A30,Firefly
0F0F0F,5.9% Gray
0F2D9E,Torea Bay
101010,6.3% Gray
10121D,Vulcan
101405,Green Waterloo
105852,Eden
110C6C,Arapawa
111111,6.7% Gray
120A8F,Ultramarine
121212,7.1% Gray
123447,Elephant
126B40,Jewel
130000,Diesel
130A06,Asphalt
131313,7.5% Gray
13264D,Blue Zodiac
134F19,Parsley
140600,Nero
141414,7.8% Gray
1450AA,Tory Blue
151515,8.2% Gray
151F4C,Bunting
1560BD,Denim
15736B,Genoa
161616,8.6% Gray
161928,Mirage
161D10,Hunter Green
162A40,Big Stone
163222,Celtic
16322C,Timber Green
163531,Gable Green
171717,9.0% Gray
171F04,Pine Tree
175579,Chathams Blue
181818,9.4% Gray
182D09,Deep Forest Green
18587A,Blumine
191919,9.8% Gray
19330E,Palm Leaf
193751,Nile Blue
1959A8,Fun Blue
1A1A1A,10.2% Gray
1A1A68,Lucky Point
1AB385,Mountain Meadow
1B0245,Tolopea
1B1035,Haiti
1B127B,Deep Koamaru
1B1404,Acadia
1B1B1B,10.6% Gray
1B2F11,Seaweed
1B3162,Biscay
1B659D,Matisse
1C1208,Crowshead
1C1C1C,11.0% Gray
1C1E13,Rangoon Green
1C39BB,Persian Blue
1C402E,Everglade
1C7C7D,Elm
1D1D1D,11.4% Gray
1D6142,Green Pea
1E0F04,Creole
1E1609,Karaka
1E1708,El Paso
1E1E1E,11.8% Gray
1E385B,Cello
1E433C,Te Papa Green
1E90FF,Dodger Blue
1E9AB0,Eastern Blue
1F120F,Night Rider
1F1F1F,12.2% Gray
1FC2C2,Java
202020,12.5% Gray
20208D,Jacksons Purple
202E54,Cloud Burst
204852,Blue Dianne
211A0E,Eternity
212121,12.9% Gray
220878,Deep Blue
222222,13.3% Gray
228B22,Forest Green
232323,13.7% Gray
233418,Mallard
240A40,Violet
240C02,Kilamanjaro
242424,14.1% Gray
242A1D,Log Cabin
242E16,Black Olive
24500F,Green House
251607,Graphite
251706,Cannon Black
251F4F,Port Gore
252525,14.5% Gray
25272C,Shark
25311C,Green Kelp
2596D1,Curious Blue
260368,Paua
26056A,Paris M
261105,Wood Bark
261414,Gondola
262335,Steel Gray
262626,14.9% Gray
26283B,Ebony Clay
272727,15.3% Gray
273A81,Bay of Many
27504B,Plantation
278A5B,Eucalyptus
281E15,Oil
282828,15.7% Gray
283A77,Astronaut
286ACD,Mariner
290C5E,Violent Violet
292130,Bastille
292319,Zeus
292929,16.1% Gray
292937,Charade
297B9A,Jelly Bean
29AB87,Jungle Green
2A0359,Cherry Pie
2A140E,Coffee Bean
2A2630,Baltic Sea
2A2A2A,16.5% Gray
2A380B,Turtle Green
2A52BE,Cerulean Blue
2B0202,Sepia Black
2B194F,Valhalla
2B2B2B,16.9% Gray
2B3228,Heavy Metal
2C0E8C,Blue Gem
2C1632,Revolver
2C2133,Bleached Cedar
2C2C2C,17.3% Gray
2C8C84,Lochinvar
2D2510,Mikado
2D2D2D,17.6% Gray
2D383A,Outer Space
2D569B,St Tropaz
2E0329,Jacaranda
2E1905,Jacko Bean
2E2E2E,18.0% Gray
2E3222,Rangitoto
2E3F62,Rhino
2E8B57,Sea Green
2EBFD4,Scooter
2F270E,Onion
2F2F2F,18.4% Gray
2F3CB3,Governor Bay
2F519E,Sapphire
2F5A57,Spectra
2F6168,Casal
300529,Melanzane
301F1E,Cocoa Brown
302A0F,Woodrush
303030,18.8% Gray
304B6A,San Juan
30D5C8,Turquoise
311C17,Eclipse
313131,19.2% Gray
314459,Pickled Bluewood
315BA1,Azure
31728D,Calypso
317D82,Paradiso
32127A,Persian Indigo
32293A,Blackcurrant
323232,19.6% Gray
323232,Mine Shaft
325D52,Stromboli
327C14,Bilbao
327DA0,Astral
33036B,Christalle
33292F,Thunder
333333,20.0% Gray
33CC99,Shamrock
341515,Tamarind
343434,20.4% Gray
350036,Mardi Gras
350E42,Valentino
350E57,Jagger
353535,20.8% Gray
353542,Tuna
354E8C,Chambray
363050,Martinique
363534,Tuatara
363636,21.2% Gray
363C0D,Waiouru
36747D,Ming
368716,La Palma
370202,Chocolate
371D09,Clinker
37290E,Brown Tumbleweed
373021,Birch
373737,21.6% Gray
377475,Oracle
380474,Blue Diamond
381A51,Grape
383533,Dune
383838,22.0% Gray
384555,Oxford Blue
384910,Clover
393939,22.4% Gray
394851,Limed Spruce
396413,Dell
3A0020,Toledo
3A2010,Sambuca
3A2A6A,Jacarta
3A3A3A,22.7% Gray
3A686C,William
3A6A47,Killarney
3AB09E,Keppel
3B000B,Temptress
3B0910,Aubergine
3B1F1F,Jon
3B2820,Treehouse
