# emoji-sequences.txt
# Date: 2024-05-01, 21:25:24 GMT
# © 2024 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
#
# Emoji Sequence Data for UTS #51
# Version: 16.0
#
# For documentation and usage, see https://www.unicode.org/reports/tr51
#
# Format:
#   code_point(s) ; type_field ; description # comments
# Fields:
#   code_point(s): one or more code points in hex format, separated by spaces
#   type_field, one of the following:
#       Basic_Emoji
#       Emoji_Keycap_Sequence
#       RGI_Emoji_Flag_Sequence
#       RGI_Emoji_Tag_Sequence
#       RGI_Emoji_Modifier_Sequence
#     The type_field is a convenience for parsing the emoji sequence files, and is not intended to be maintained as a property.
#   short name: CLDR short name of sequence; characters may be escaped with \x{hex}.
#
# For the purpose of regular expressions, each of the type fields defines the name of
# a binary property of strings. The short name of each property is the same as the long name.
#
# For the purpose of regular expressions, the property RGI_Emoji is defined as
# a binary property of strings corresponding to ED-27 in UTS #51 Unicode Emoji.
# That is, it is the union of the above properties plus RGI_Emoji_ZWJ_Sequence,
# whose data is in emoji-zwj-sequences.txt.
# The short name of RGI_Emoji is the same as the long name.
#
# Characters and sequences are listed in code point order. Users should be shown a more natural order.
# See the CLDR collation order for Emoji.

# ================================================

# Basic_Emoji

231A..231B    ; Basic_Emoji                  ; watch..hourglass done                                          # E0.6   [2] (⌚..⌛)
23E9..23EC    ; Basic_Emoji                  ; fast-forward button..fast down button                          # E0.6   [4] (⏩..⏬)
23F0          ; Basic_Emoji                  ; alarm clock                                                    # E0.6   [1] (⏰)
23F3          ; Basic_Emoji                  ; hourglass not done                                             # E0.6   [1] (⏳)
25FD..25FE    ; Basic_Emoji                  ; white medium-small square..black medium-small square           # E0.6   [2] (◽..◾)
2614..2615    ; Basic_Emoji                  ; umbrella with rain drops..hot beverage                         # E0.6   [2] (☔..☕)
2648..2653    ; Basic_Emoji                  ; Aries..Pisces                                                  # E0.6  [12] (♈..♓)
267F          ; Basic_Emoji                  ; wheelchair symbol                                              # E0.6   [1] (♿)
2693          ; Basic_Emoji                  ; anchor                                                         # E0.6   [1] (⚓)
26A1          ; Basic_Emoji                  ; high voltage                                                   # E0.6   [1] (⚡)
26AA..26AB    ; Basic_Emoji                  ; white circle..black circle                                     # E0.6   [2] (⚪..⚫)
26BD..26BE    ; Basic_Emoji                  ; soccer ball..baseball                                          # E0.6   [2] (⚽..⚾)
26C4..26C5    ; Basic_Emoji                  ; snowman without snow..sun behind cloud                         # E0.6   [2] (⛄..⛅)
26CE          ; Basic_Emoji                  ; Ophiuchus                                                      # E0.6   [1] (⛎)
26D4          ; Basic_Emoji                  ; no entry                                                       # E0.6   [1] (⛔)
26EA          ; Basic_Emoji                  ; church                                                         # E0.6   [1] (⛪)
26F2..26F3    ; Basic_Emoji                  ; fountain..flag in hole                                         # E0.6   [2] (⛲..⛳)
26F5          ; Basic_Emoji                  ; sailboat                                                       # E0.6   [1] (⛵)
26FA          ; Basic_Emoji                  ; tent                                                           # E0.6   [1] (⛺)
26FD          ; Basic_Emoji                  ; fuel pump                                                      # E0.6   [1] (⛽)
2705          ; Basic_Emoji                  ; check mark button                                              # E0.6   [1] (✅)
270A..270B    ; Basic_Emoji                  ; raised fist..raised hand                                       # E0.6   [2] (✊..✋)
2728          ; Basic_Emoji                  ; sparkles                                                       # E0.6   [1] (✨)
274C          ; Basic_Emoji                  ; cross mark                                                     # E0.6   [1] (❌)
274E          ; Basic_Emoji                  ; cross mark button                                              # E0.6   [1] (❎)
2753..2755    ; Basic_Emoji                  ; red question mark..white exclamation mark                      # E0.6   [3] (❓..❕)
2757          ; Basic_Emoji                  ; red exclamation mark                                           # E0.6   [1] (❗)
2795..2797    ; Basic_Emoji                  ; plus..divide                                                   # E0.6   [3] (➕..➗)
27B0          ; Basic_Emoji                  ; curly loop                                                     # E0.6   [1] (➰)
27BF          ; Basic_Emoji                  ; double curly loop                                              # E1.0   [1] (➿)
2B1B..2B1C    ; Basic_Emoji                  ; black large square..white large square                         # E0.6   [2] (⬛..⬜)
2B50          ; Basic_Emoji                  ; star                                                           # E0.6   [1] (⭐)
2B55          ; Basic_Emoji                  ; hollow red circle                                              # E0.6   [1] (⭕)
1F004         ; Basic_Emoji                  ; mahjong red dragon                                             # E0.6   [1] (🀄)
1F0CF         ; Basic_Emoji                  ; joker                                                          # E0.6   [1] (🃏)
1F18E         ; Basic_Emoji                  ; AB button (blood type)                                         # E0.6   [1] (🆎)
1F191..1F19A  ; Basic_Emoji                  ; CL button..VS button                                           # E0.6  [10] (🆑..🆚)
1F201         ; Basic_Emoji                  ; Japanese “here” button                                         # E0.6   [1] (🈁)
1F21A         ; Basic_Emoji                  ; Japanese “free of charge” button                               # E0.6   [1] (🈚)
1F22F         ; Basic_Emoji                  ; Japanese “reserved” button                                     # E0.6   [1] (🈯)
1F232..1F236  ; Basic_Emoji                  ; Japanese “prohibited” button..Japanese “not free of charge” button#E0.6 [5] (🈲..🈶)
1F238..1F23A  ; Basic_Emoji                  ; Japanese “application” button..Japanese “open for business” button#E0.6 [3] (🈸..🈺)
1F250..1F251  ; Basic_Emoji                  ; Japanese “bargain” button..Japanese “acceptable” button        # E0.6   [2] (🉐..🉑)
1F300..1F30C  ; Basic_Emoji                  ; cyclone..milky way                                             # E0.6  [13] (🌀..🌌)
1F30D..1F30E  ; Basic_Emoji                  ; globe showing Europe-Africa..globe showing Americas            # E0.7   [2] (🌍..🌎)
1F30F         ; Basic_Emoji                  ; globe showing Asia-Australia                                   # E0.6   [1] (🌏)
1F310         ; Basic_Emoji                  ; globe with meridians                                           # E1.0   [1] (🌐)
1F311         ; Basic_Emoji                  ; new moon                                                       # E0.6   [1] (🌑)
1F312         ; Basic_Emoji                  ; waxing crescent moon                                           # E1.0   [1] (🌒)
1F313..1F315  ; Basic_Emoji                  ; first quarter moon..full moon                                  # E0.6   [3] (🌓..🌕)
1F316..1F318  ; Basic_Emoji                  ; waning gibbous moon..waning crescent moon                      # E1.0   [3] (🌖..🌘)
1F319         ; Basic_Emoji                  ; crescent moon                                                  # E0.6   [1] (🌙)
1F31A         ; Basic_Emoji                  ; new moon face                                                  # E1.0   [1] (🌚)
1F31B         ; Basic_Emoji                  ; first quarter moon face                                        # E0.6   [1] (🌛)
1F31C         ; Basic_Emoji                  ; last quarter moon face                                         # E0.7   [1] (🌜)
1F31D..1F31E  ; Basic_Emoji                  ; full moon face..sun with face                                  # E1.0   [2] (🌝..🌞)
1F31F..1F320  ; Basic_Emoji                  ; glowing star..shooting star                                    # E0.6   [2] (🌟..🌠)
1F32D..1F32F  ; Basic_Emoji                  ; hot dog..burrito                                               # E1.0   [3] (🌭..🌯)
1F330..1F331  ; Basic_Emoji                  ; chestnut..seedling                                             # E0.6   [2] (🌰..🌱)
1F332..1F333  ; Basic_Emoji                  ; evergreen tree..deciduous tree                                 # E1.0   [2] (🌲..🌳)
1F334..1F335  ; Basic_Emoji                  ; palm tree..cactus                                              # E0.6   [2] (🌴..🌵)
1F337..1F34A  ; Basic_Emoji                  ; tulip..tangerine                                               # E0.6  [20] (🌷..🍊)
1F34B         ; Basic_Emoji                  ; lemon                                                          # E1.0   [1] (🍋)
1F34C..1F34F  ; Basic_Emoji                  ; banana..green apple                                            # E0.6   [4] (🍌..🍏)
1F350         ; Basic_Emoji                  ; pear                                                           # E1.0   [1] (🍐)
1F351..1F37B  ; Basic_Emoji                  ; peach..clinking beer mugs                                      # E0.6  [43] (🍑..🍻)
1F37C         ; Basic_Emoji                  ; baby bottle                                                    # E1.0   [1] (🍼)
1F37E..1F37F  ; Basic_Emoji                  ; bottle with popping cork..popcorn                              # E1.0   [2] (🍾..🍿)
1F380..1F393  ; Basic_Emoji                  ; ribbon..graduation cap                                         # E0.6  [20] (🎀..🎓)
1F3A0..1F3C4  ; Basic_Emoji                  ; carousel horse..person surfing                                 # E0.6  [37] (🎠..🏄)
1F3C5         ; Basic_Emoji                  ; sports medal                                                   # E1.0   [1] (🏅)
1F3C6         ; Basic_Emoji                  ; trophy                                                         # E0.6   [1] (🏆)
1F3C7         ; Basic_Emoji                  ; horse racing                                                   # E1.0   [1] (🏇)
1F3C8         ; Basic_Emoji                  ; american football                                              # E0.6   [1] (🏈)
1F3C9         ; Basic_Emoji                  ; rugby football                                                 # E1.0   [1] (🏉)
1F3CA         ; Basic_Emoji                  ; person swimming                                                # E0.6   [1] (🏊)
1F3CF..1F3D3  ; Basic_Emoji                  ; cricket game..ping pong                                        # E1.0   [5] (🏏..🏓)
1F3E0..1F3E3  ; Basic_Emoji                  ; house..Japanese post office                                    # E0.6   [4] (🏠..🏣)
1F3E4         ; Basic_Emoji                  ; post office                                                    # E1.0   [1] (🏤)
1F3E5..1F3F0  ; Basic_Emoji                  ; hospital..castle                                               # E0.6  [12] (🏥..🏰)
1F3F4         ; Basic_Emoji                  ; black flag                                                     # E1.0   [1] (🏴)
1F3F8..1F407  ; Basic_Emoji                  ; badminton..rabbit                                              # E1.0  [16] (🏸..🐇)
1F408         ; Basic_Emoji                  ; cat                                                            # E0.7   [1] (🐈)
1F409..1F40B  ; Basic_Emoji                  ; dragon..whale                                                  # E1.0   [3] (🐉..🐋)
1F40C..1F40E  ; Basic_Emoji                  ; snail..horse                                                   # E0.6   [3] (🐌..🐎)
1F40F..1F410  ; Basic_Emoji                  ; ram..goat                                                      # E1.0   [2] (🐏..🐐)
1F411..1F412  ; Basic_Emoji                  ; ewe..monkey                                                    # E0.6   [2] (🐑..🐒)
1F413         ; Basic_Emoji                  ; rooster                                                        # E1.0   [1] (🐓)
1F414         ; Basic_Emoji                  ; chicken                                                        # E0.6   [1] (🐔)
1F415         ; Basic_Emoji                  ; dog                                                            # E0.7   [1] (🐕)
1F416         ; Basic_Emoji                  ; pig                                                            # E1.0   [1] (🐖)
1F417..1F429  ; Basic_Emoji                  ; boar..poodle                                                   # E0.6  [19] (🐗..🐩)
1F42A         ; Basic_Emoji                  ; camel                                                          # E1.0   [1] (🐪)
1F42B..1F43E  ; Basic_Emoji                  ; two-hump camel..paw prints                                     # E0.6  [20] (🐫..🐾)
1F440         ; Basic_Emoji                  ; eyes                                                           # E0.6   [1] (👀)
1F442..1F464  ; Basic_Emoji                  ; ear..bust in silhouette                                        # E0.6  [35] (👂..👤)
1F465         ; Basic_Emoji                  ; busts in silhouette                                            # E1.0   [1] (👥)
1F466..1F46B  ; Basic_Emoji                  ; boy..woman and man holding hands                               # E0.6   [6] (👦..👫)
1F46C..1F46D  ; Basic_Emoji                  ; men holding hands..women holding hands                         # E1.0   [2] (👬..👭)
1F46E..1F4AC  ; Basic_Emoji                  ; police officer..speech balloon                                 # E0.6  [63] (👮..💬)
1F4AD         ; Basic_Emoji                  ; thought balloon                                                # E1.0   [1] (💭)
1F4AE..1F4B5  ; Basic_Emoji                  ; white flower..dollar banknote                                  # E0.6   [8] (💮..💵)
1F4B6..1F4B7  ; Basic_Emoji                  ; euro banknote..pound banknote                                  # E1.0   [2] (💶..💷)
1F4B8..1F4EB  ; Basic_Emoji                  ; money with wings..closed mailbox with raised flag              # E0.6  [52] (💸..📫)
1F4EC..1F4ED  ; Basic_Emoji                  ; open mailbox with raised flag..open mailbox with lowered flag  # E0.7   [2] (📬..📭)
1F4EE         ; Basic_Emoji                  ; postbox                                                        # E0.6   [1] (📮)
1F4EF         ; Basic_Emoji                  ; postal horn                                                    # E1.0   [1] (📯)
1F4F0..1F4F4  ; Basic_Emoji                  ; newspaper..mobile phone off                                    # E0.6   [5] (📰..📴)
1F4F5         ; Basic_Emoji                  ; no mobile phones                                               # E1.0   [1] (📵)
1F4F6..1F4F7  ; Basic_Emoji                  ; antenna bars..camera                                           # E0.6   [2] (📶..📷)
1F4F8         ; Basic_Emoji                  ; camera with flash                                              # E1.0   [1] (📸)
1F4F9..1F4FC  ; Basic_Emoji                  ; video camera..videocassette                                    # E0.6   [4] (📹..📼)
1F4FF..1F502  ; Basic_Emoji                  ; prayer beads..repeat single button                             # E1.0   [4] (📿..🔂)
1F503         ; Basic_Emoji                  ; clockwise vertical arrows                                      # E0.6   [1] (🔃)
1F504..1F507  ; Basic_Emoji                  ; counterclockwise arrows button..muted speaker                  # E1.0   [4] (🔄..🔇)
1F508         ; Basic_Emoji                  ; speaker low volume                                             # E0.7   [1] (🔈)
1F509         ; Basic_Emoji                  ; speaker medium volume                                          # E1.0   [1] (🔉)
1F50A..1F514  ; Basic_Emoji                  ; speaker high volume..bell                                      # E0.6  [11] (🔊..🔔)
1F515         ; Basic_Emoji                  ; bell with slash                                                # E1.0   [1] (🔕)
1F516..1F52B  ; Basic_Emoji                  ; bookmark..water pistol                                         # E0.6  [22] (🔖..🔫)
1F52C..1F52D  ; Basic_Emoji                  ; microscope..telescope                                          # E1.0   [2] (🔬..🔭)
1F52E..1F53D  ; Basic_Emoji                  ; crystal ball..downwards button                                 # E0.6  [16] (🔮..🔽)
1F54B..1F54E  ; Basic_Emoji                  ; kaaba..menorah                                                 # E1.0   [4] (🕋..🕎)
1F550..1F55B  ; Basic_Emoji                  ; one o’clock..twelve o’clock                                    # E0.6  [12] (🕐..🕛)
1F55C..1F567  ; Basic_Emoji                  ; one-thirty..twelve-thirty                                      # E0.7  [12] (🕜..🕧)
1F57A         ; Basic_Emoji                  ; man dancing                                                    # E3.0   [1] (🕺)
1F595..1F596  ; Basic_Emoji                  ; middle finger..vulcan salute                                   # E1.0   [2] (🖕..🖖)
1F5A4         ; Basic_Emoji                  ; black heart                                                    # E3.0   [1] (🖤)
1F5FB..1F5FF  ; Basic_Emoji                  ; mount fuji..moai                                               # E0.6   [5] (🗻..🗿)
1F600         ; Basic_Emoji                  ; grinning face                                                  # E1.0   [1] (😀)
1F601..1F606  ; Basic_Emoji                  ; beaming face with smiling eyes..grinning squinting face        # E0.6   [6] (😁..😆)
1F607..1F608  ; Basic_Emoji                  ; smiling face with halo..smiling face with horns                # E1.0   [2] (😇..😈)
1F609..1F60D  ; Basic_Emoji                  ; winking face..smiling face with heart-eyes                     # E0.6   [5] (😉..😍)
1F60E         ; Basic_Emoji                  ; smiling face with sunglasses                                   # E1.0   [1] (😎)
1F60F         ; Basic_Emoji                  ; smirking face                                                  # E0.6   [1] (😏)
1F610         ; Basic_Emoji                  ; neutral face                                                   # E0.7   [1] (😐)
1F611         ; Basic_Emoji                  ; expressionless face                                            # E1.0   [1] (😑)
1F612..1F614  ; Basic_Emoji                  ; unamused face..pensive face                                    # E0.6   [3] (😒..😔)
1F615         ; Basic_Emoji                  ; confused face                                                  # E1.0   [1] (😕)
1F616         ; Basic_Emoji                  ; confounded face                                                # E0.6   [1] (😖)
1F617         ; Basic_Emoji                  ; kissing face                                                   # E1.0   [1] (😗)
1F618         ; Basic_Emoji                  ; face blowing a kiss                                            # E0.6   [1] (😘)
1F619         ; Basic_Emoji                  ; kissing face with smiling eyes                                 # E1.0   [1] (😙)
1F61A         ; Basic_Emoji                  ; kissing face with closed eyes                                  # E0.6   [1] (😚)
1F61B         ; Basic_Emoji                  ; face with tongue                                               # E1.0   [1] (😛)
1F61C..1F61E  ; Basic_Emoji                  ; winking face with tongue..disappointed face                    # E0.6   [3] (😜..😞)
1F61F         ; Basic_Emoji                  ; worried face                                                   # E1.0   [1] (😟)
1F620..1F625  ; Basic_Emoji                  ; angry face..sad but relieved face                              # E0.6   [6] (😠..😥)
1F626..1F627  ; Basic_Emoji                  ; frowning face with open mouth..anguished face                  # E1.0   [2] (😦..😧)
1F628..1F62B  ; Basic_Emoji                  ; fearful face..tired face                                       # E0.6   [4] (😨..😫)
1F62C         ; Basic_Emoji                  ; grimacing face                                                 # E1.0   [1] (😬)
