
For documentation, see idn-chars.html

#*** Script: LATIN ***

# Atomic
0061          ; LATIN ; Atomic # L& (a) LATIN SMALL LETTER A
00E6          ; LATIN ; Atomic # L& (æ) LATIN SMALL LETTER AE
0062          ; LATIN ; Atomic # L& (b) LATIN SMALL LETTER B
0253          ; LATIN ; Atomic # L& (ɓ) LATIN SMALL LETTER B WITH HOOK
0183          ; LATIN ; Atomic # L& (ƃ) LATIN SMALL LETTER B WITH TOPBAR
0063          ; LATIN ; Atomic # L& (c) LATIN SMALL LETTER C
0188          ; LATIN ; Atomic # L& (ƈ) LATIN SMALL LETTER C WITH HOOK
0064          ; LATIN ; Atomic # L& (d) LATIN SMALL LETTER D
0111          ; LATIN ; Atomic # L& (đ) LATIN SMALL LETTER D WITH STROKE
0256          ; LATIN ; Atomic # L& (ɖ) LATIN SMALL LETTER D WITH TAIL
0257          ; LATIN ; Atomic # L& (ɗ) LATIN SMALL LETTER D WITH HOOK
018C          ; LATIN ; Atomic # L& (ƌ) LATIN SMALL LETTER D WITH TOPBAR
00F0          ; LATIN ; Atomic # L& (ð) LATIN SMALL LETTER ETH
0065          ; LATIN ; Atomic # L& (e) LATIN SMALL LETTER E
01DD          ; LATIN ; Atomic # L& (ǝ) LATIN SMALL LETTER TURNED E
0259          ; LATIN ; Atomic # L& (ə) LATIN SMALL LETTER SCHWA
025B          ; LATIN ; Atomic # L& (ɛ) LATIN SMALL LETTER OPEN E
0066          ; LATIN ; Atomic # L& (f) LATIN SMALL LETTER F
0192          ; LATIN ; Atomic # L& (ƒ) LATIN SMALL LETTER F WITH HOOK
0067          ; LATIN ; Atomic # L& (g) LATIN SMALL LETTER G
01E5          ; LATIN ; Atomic # L& (ǥ) LATIN SMALL LETTER G WITH STROKE
0260          ; LATIN ; Atomic # L& (ɠ) LATIN SMALL LETTER G WITH HOOK
0263          ; LATIN ; Atomic # L& (ɣ) LATIN SMALL LETTER GAMMA
01A3          ; LATIN ; Atomic # L& (ƣ) LATIN SMALL LETTER OI
0068          ; LATIN ; Atomic # L& (h) LATIN SMALL LETTER H
0195          ; LATIN ; Atomic # L& (ƕ) LATIN SMALL LETTER HV
0127          ; LATIN ; Atomic # L& (ħ) LATIN SMALL LETTER H WITH STROKE
0069          ; LATIN ; Atomic # L& (i) LATIN SMALL LETTER I
0131          ; LATIN ; Atomic # L& (ı) LATIN SMALL LETTER DOTLESS I
0268          ; LATIN ; Atomic # L& (ɨ) LATIN SMALL LETTER I WITH STROKE
0269          ; LATIN ; Atomic # L& (ɩ) LATIN SMALL LETTER IOTA
006A          ; LATIN ; Atomic # L& (j) LATIN SMALL LETTER J
006B          ; LATIN ; Atomic # L& (k) LATIN SMALL LETTER K
0199          ; LATIN ; Atomic # L& (ƙ) LATIN SMALL LETTER K WITH HOOK
